Make,Model,Model Year,Mileage(km),Fuel Type,Transmission,Registered in,Color,Assembly,Engine Capacity(cc),Body Type,ABS,Air Bags,Air Conditioning,Alloy Rims,AM/FM Radio,CD Player,Cassette Player,Cool Box,Cruise Control,Climate Control,DVD Player,Front Speakers,Front Camera,Heated Seats,Immobilizer Key,Keyless Entry,Navigation System,Power Locks,Power Mirrors,Power Steering,Power Windows,Rear Seat Entertainment,Rear AC Vents,Rear Speakers,Rear Camera,Sun Roof,Steering Switches,USB and Auxillary Cable,Location,Price(PKR lacs)
Toyota,Corolla Altis X Automatic 1.6,2023,68,Petrol,Automatic,Karachi,Black,Local,1600,Sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karachi Sindh,67.75
Toyota,Corolla Altis Automatic 1.6,2016,"52,000",Petrol,Automatic,Karachi,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Karachi Sindh,36.5
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2022,"6,000",Petrol,Automatic,Karachi,White,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"DHA Defence, Karachi Sindh",68
Toyota,Corolla Altis X Automatic 1.6 Special Edition,2023,175,Petrol,Automatic,Karachi,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"Khalid Bin Walid Road, Karachi Sindh",40.5
Toyota,Corolla XLi VVTi,2012,"129,000",Petrol,Manual,Karachi,White,Local,1300,Sedan,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"Khalid Bin Walid Road, Karachi Sindh",26.5
Toyota,Corolla DX,1986,"150,000",Petrol,Manual,Karachi,Silver,Local,1300,Sedan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Khalid Bin Walid Road, Karachi Sindh",8.9
Toyota,Corolla Altis Automatic 1.6,2018,"85,864",Petrol,Automatic,Karachi,Phantom Brown,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,"Jamshed Road, Karachi Sindh",41.5
Toyota,Corolla GLi Automatic 1.3 VVTi,2017,"61,844",Petrol,Automatic,Sindh,White,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,"D.H.A, Karachi Sindh",36
Toyota,Corolla Altis Grande CVT-i 1.8,2023,"10,000",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Islamabad Islamabad,74.5
Toyota,Corolla SE Limited,1998,"256,789",Petrol,Automatic,Punjab,White,Local,1500,Sedan,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,Islamabad Islamabad,17
